,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
2016-12-01,11992.8626917,12017.8113629,12128.2708669,6403.6695354,6416.1135892,6467.4652069,5589.1931563,5601.6977737,5660.80566,8173.6830496,8205.9908792,8329.7438238,5206.4764171,5225.9789438,5294.0778461,2967.2066325,2980.0119354,3035.6659777,3819.1796421,3811.8204837,3798.5270432,1197.1931183,1190.1346453,1173.3873608,2621.9865238,2621.6858384,2625.1396824,60.8015896,60.9514095,61.5116332,66.1192575,66.2749283,66.8053623,55.671885,55.8161568,56.4051166,735.7063115,744.8944906,722.4218029,387.5415729,397.0118453,390.978498,348.1647386,347.8826453,331.4433049,518.1691668,529.6878434,513.1443985,300.0041255,303.900094,292.9148113,218.1650413,225.7877493,220.2295872,217.5371447,215.2066473,209.2774044,87.5374474,93.1117513,98.0636867,129.9996973,122.094896,111.2137177,5.7799609,5.8364934,5.6216565,5.7065164,5.8271618,5.7006883,5.8639675,5.8471795,5.5312005,5.9615506,6.0634996,5.802905,5.448201,5.4956011,5.2427993,6.8489666,7.0431022,6.7640249,5.3889623,5.3440575,5.2217469,6.8136814,7.2559527,7.7127379,4.7238499,4.449878,4.0643039,12728.5690032,12762.7058535,12850.6926697,6791.2111083,6813.1254345,6858.4437048,5937.3578948,5949.5804191,5992.2489649,64.5314842,64.7293328,65.1755805,70.1207072,70.3758426,70.8439554,59.1398252,59.2825116,59.7076674,6866.3433304,2822.6132952,4043.7300352,19717.036,9681.057,10035.979
2017-01-01,12010.5731902,12039.2723633,11864.3051123,6411.1940806,6416.9514667,6339.9944348,5599.3791096,5622.3208966,5524.3106776,8187.0924962,8155.4445639,8094.7792598,5216.1336888,5216.6801567,5180.8842801,2970.9588074,2938.7644072,2913.8949797,3823.480694,3883.8277995,3769.5258526,1195.0603917,1200.27131,1159.1101547,2628.4203022,2683.5564895,2610.4156979,60.7950403,60.9476583,60.0619034,66.0904135,66.1580486,65.3646303,55.6863896,55.9210396,54.946205,740.0172374,725.5350211,773.1516721,387.7875431,376.3257753,403.7970689,352.2296943,349.2092458,369.3546032,519.409722,510.7267818,555.1584991,299.053499,295.9888717,320.0326702,220.356223,214.7379101,235.1258289,220.6075153,214.8082393,217.993173,88.734044,80.3369037,83.7643988,131.8734713,134.4713357,134.2287743,5.803788,5.6838697,6.1179372,5.7036122,5.5396793,5.9876861,5.9182266,5.8479023,6.2669762,5.965768,5.8933381,6.4180635,5.4223635,5.369248,5.8178059,6.9048722,6.8095054,7.4666331,5.4550619,5.2409689,5.4668873,6.9118577,6.2733397,6.7395699,4.7775158,4.7718243,4.8905706,12750.5904275,12764.8073845,12637.4567843,6798.9816236,6793.2772421,6743.7915036,5951.6088039,5971.5301424,5893.6652807,64.5408547,64.6206095,63.9759094,70.0879588,70.0379251,69.5277327,59.1893494,59.394364,58.6199002,7116.0049658,2955.6352465,4160.3697194,19753.46175,9699.42675,10054.035
2017-02-01,12036.7205812,12015.1753182,12062.0929505,6423.6793289,6414.5194507,6448.9121506,5613.0412523,5600.6558675,5613.1808,8207.9360866,8179.2906579,8263.4855623,5229.899196,5217.8319039,5273.5343516,2978.0368906,2961.4587539,2989.9512108,3828.7844947,3835.8846603,3798.6073883,1193.7801329,1196.6875468,1175.3777991,2635.0043617,2639.1971135,2623.2295892,60.8297632,60.7137355,60.9508144,66.1100423,66.0079394,66.3618539,55.7351746,55.6057524,55.7301054,741.2386003,752.4392372,824.1296568,386.5327642,396.2204467,424.6997355,354.7058361,356.2187905,399.4299213,517.1956008,522.9953648,567.0079654,296.7652721,298.8180406,316.6428601,220.4303287,224.1773242,250.3651053,224.0429995,229.4438724,257.1216915,89.7674921,97.402406,108.0568754,134.2755075,132.0414664,149.0648161,5.8009154,5.8933424,6.3954324,5.6757816,5.817583,6.1786982,5.9437143,5.9799612,6.6432028,5.9276538,6.0098618,6.4210224,5.3696995,5.4166576,5.6642723,6.8917489,7.0371291,7.7265637,5.5280665,5.6439196,6.3397157,6.9937017,7.5267106,8.4193514,4.8487518,4.7647094,5.3769475,12777.9591815,12767.6145554,12886.2226073,6810.2120931,6810.7398974,6873.611886,5967.7470884,5956.874658,6012.6107213,64.5757477,64.515877,65.1152139,70.0880892,70.0852043,70.7321819,59.2572566,59.1424478,59.6958197,6903.6572678,2844.187989,4059.4692788,19789.879875,9717.799875,10072.08
2017-03-01,12071.2739629,12075.6945132,12079.5723598,6440.3256415,6435.4967716,6443.6950004,5630.9483214,5640.1977416,5635.8773594,8236.8540722,8251.9228114,8228.7525014,5246.8733505,5239.9936292,5236.5222648,2989.9807217,3011.9291822,2992.2302366,3834.4198907,3823.7717018,3850.8198583,1193.452291,1195.5031424,1207.1727355,2640.9675997,2628.2685594,2643.6471228,60.9097389,60.9074384,60.9269975,66.1749301,66.0987995,66.1830032,55.8292262,55.8981839,55.8553659,739.3736645,749.7425085,799.5779899,384.3161741,386.0672091,404.5089178,355.0574904,363.6752994,395.0690721,512.2856001,515.4903587,540.0201917,294.1137288,295.0990041,303.4720039,218.1718714,220.3913546,236.5481878,227.0880643,234.2521498,259.5577982,90.2024453,90.9682051,101.0369139,136.885619,143.2839447,158.5208843,5.7715557,5.8457463,6.2083132,5.6313018,5.6595117,5.9067884,5.9314592,6.0573449,6.5506977,5.8552683,5.8796175,6.1584467,5.3079663,5.3314194,5.4778397,6.8005453,6.8183632,7.3262441,5.5912254,5.7725671,6.3146947,7.0270021,7.0711412,7.7232968,4.9277485,5.1698081,5.6570799,12810.6476274,12825.4370216,12879.1503496,6824.6418156,6821.5639807,6848.2039182,5986.0058118,6003.8730409,6030.9464314,64.6405015,64.6889928,64.9599123,70.1238136,70.0640845,70.3377025,59.3495186,59.5024527,59.7707683,6947.1546502,2887.9740817,4059.1805685,19826.3049999,9736.178,10090.127
2017-04-01,12113.1000506,12132.9556131,12151.1870612,6459.975002,6487.3454797,6504.359549,5653.1250486,5645.6101333,5646.8275122,8272.7902966,8259.4395996,8232.3499479,5266.1164812,5266.6149052,5253.9300564,3006.6738154,2992.8246944,2978.4198914,3840.309754,3873.5160135,3918.8371132,1193.8585208,1220.7305745,1250.4294925,2646.4512332,2652.785439,2668.4076207,61.0320657,61.1259427,61.2177929,66.2769351,66.5511289,66.7256695,55.9706805,55.8905006,55.9025525,735.4984083,720.929382,727.3398974,382.1698321,364.7670655,360.2232616,353.3285762,356.1623165,367.1166358,505.8963309,502.5577787,503.8729886,291.8360178,284.0631485,279.4512422,214.0603132,218.4946302,224.4217464,229.6020773,218.3716033,223.4669088,90.3338143,80.703917,80.7720194,139.268263,137.6676863,142.6948894,5.7243474,5.6086497,5.6476948,5.5855268,5.3234249,5.2475623,5.8824824,5.9342856,6.1044238,5.7627792,5.7356532,5.7676297,5.2507829,5.1176297,5.0502799,6.6463205,6.8038899,7.0069573,5.6414509,5.336696,5.3947491,7.0342901,6.2011509,6.0676027,4.9993642,4.9335244,5.0761183,12848.5984589,12853.8849951,12878.5269585,6842.1448341,6852.1125452,6864.5828105,6006.4536248,6001.7724499,6013.944148,64.7378872,64.7579916,64.8821381,70.1978551,70.2931309,70.4210585,59.4689298,59.416442,59.5369396,6970.5830413,2883.3291894,4087.2538519,19849.1099999,9747.912,10101.198
2017-05-01,12157.6437737,12164.8543946,12230.1211118,6479.8749699,6481.4214174,6510.149094,5677.7688037,5683.4329772,5719.9720178,8312.0651127,8323.6509798,8324.6543034,5285.8501747,5292.9009591,5291.3066263,3026.2149379,3030.7500207,3033.3476771,3845.578661,3841.2034149,3905.4668083,1194.0247952,1188.5204584,1218.8424676,2651.5538658,2652.6829565,2686.6243407,61.174114,61.2163073,61.5447443,66.3888511,66.4104423,66.704794,56.1413191,56.2033016,56.5646351,730.7447789,714.389182,703.7720393,380.6837768,373.197022,363.2320264,350.0610022,341.19216,340.5400129,499.5465316,487.0731276,479.1929757,290.3315109,279.5114245,273.0698151,209.2150207,207.5617032,206.1231606,231.1982473,227.3160544,224.5790636,90.3522658,93.6855975,90.1622113,140.8459815,133.6304569,134.4168523,5.6697917,5.5468256,5.4413009,5.5488742,5.4444609,5.2846193,5.8074135,5.6632928,5.6189974,5.6691846,5.528185,5.4429951,5.2066365,5.015986,4.9074648,6.4663746,6.4095653,6.3628651,5.6711037,5.5871935,5.4376893,7.034715,7.3065945,6.8878448,5.0439045,4.7959593,4.7647958,12888.3885526,12879.2435767,12933.8931511,6860.5587467,6854.6184394,6873.3811204,6027.8298059,6024.6251372,6060.5120307,64.8510324,64.8112758,65.0862848,70.2891051,70.2343225,70.4265702,59.602694,59.5773408,59.9322253,6938.0248487,2886.2608795,4051.7639692,19871.9179999,9759.642,10112.276
2017-06-01,12201.0358854,12197.3324682,12227.7253488,6498.5100795,6484.8418835,6496.4317378,5702.5258059,5712.4905847,5731.293611,8350.2302826,8385.8569403,8371.6841665,5304.2486444,5328.75003,5316.8353203,3045.9816383,3057.1069104,3054.8488461,3850.8056028,3811.4755278,3856.0411822,1194.2614351,1156.0918536,1179.5964174,2656.5441677,2655.3836743,2676.4447648,61.3144774,61.3093888,61.4621574,66.4935779,66.3657048,66.484315,56.3156978,56.4288726,56.6146119,725.8986337,726.6470851,707.4646284,379.5688708,379.0068047,369.2977909,346.3297629,347.6402804,338.1668375,494.6900801,495.1924771,488.9006268,289.4910881,293.6008078,291.1704513,205.198992,201.5916693,197.7301755,231.2085536,231.454608,218.5640016,90.0777827,85.4059969,78.1273396,141.130771,146.0486111,140.436662,5.6153965,5.6224716,5.4693022,5.5185303,5.5217826,5.3788573,5.7255419,5.7365144,5.5716128,5.5929286,5.5758329,5.5177016,5.1752692,5.2220293,5.1920498,6.3115223,6.1862631,6.0791813,5.6640802,5.7249223,5.3640535,7.0135507,6.8792706,6.2118044,5.0445736,5.213355,4.9855369,12926.9345192,12923.9795533,12935.1899772,6878.0789503,6863.8486883,6865.7295287,6048.8555689,6060.130865,6069.4604485,64.9623722,64.9618505,65.0181992,70.3773746,70.2444506,70.2636991,59.7359019,59.8629175,59.9550766,6959.5320227,2905.6454712,4053.8865515,19894.7219999,9771.375,10123.347
2017-07-01,12240.5611101,12232.852927,12234.1056557,6514.4681951,6513.37893,6512.6980766,5726.0929149,5719.4739971,5721.4075791,8383.7110164,8370.4478002,8391.0241351,5319.5990014,5311.1933093,5315.3325796,3064.1120151,3059.2544909,3075.6915555,3856.8500937,3862.4051268,3843.0815205,1194.8691938,1202.1856207,1197.3654969,2661.9808999,2660.2195061,2645.7160236,61.4375691,61.4027344,61.4090225,66.5748022,66.5678743,66.5609159,56.4789981,56.4175432,56.4366163,721.3551986,726.452321,712.4062063,378.5510955,383.028346,382.7868162,342.8041031,343.4239751,329.6193901,491.6427211,482.911125,480.5681453,288.975239,289.6984619,292.8320448,202.6674821,193.2126631,187.7361005,229.7124775,243.541196,231.838061,89.5758565,93.329884,89.9547714,140.136621,150.2113119,141.8832896,5.5651894,5.6056425,5.5026884,5.4918038,5.5540273,5.5512676,5.6485405,5.6643535,5.4473297,5.5394155,5.4545527,5.4169323,5.1523832,5.1723631,5.2215308,6.2038923,5.9404954,5.7527275,5.6211663,5.9314267,5.6893898,6.9738956,7.2040731,6.9877538,5.0010972,5.3447788,5.0898021,12961.9163087,12959.305248,12946.511862,6893.0192907,6896.4072759,6895.4848928,6068.897018,6062.8979721,6051.0269692,65.0581801,65.0491577,64.9849413,70.4434164,70.4824912,70.4730642,59.8602273,59.8051164,59.6880195,6975.8141378,2889.0831071,4086.7310307,19922.3259999,9784.568,10137.758
2017-08-01,12275.0179362,12281.8957884,12221.564248,6526.6164317,6523.9589675,6488.9176704,5748.4015045,5757.9368209,5732.6465777,8411.5247255,8414.7360141,8347.22776,5330.8264902,5323.1688728,5286.4066664,3080.6982353,3091.5671413,3060.8210936,3863.4932107,3867.1597743,3874.336488,1195.7899416,1200.7900947,1202.5110039,2667.7032692,2666.3696796,2671.8254841,61.5362847,61.5636003,61.2611856,66.6196463,66.5861073,66.2284619,56.6297157,56.716411,56.4672989,718.225154,718.9233614,714.8639579,377.6790017,379.6347617,380.0764477,340.5461524,339.2885997,334.7875102,490.437898,493.1668774,488.8641528,288.4932162,289.6866684,290.7592048,201.9446818,203.480209,198.104948,227.787256,225.756484,225.9998051,89.1857855,89.9480932,89.3172429,138.6014705,135.8083907,136.6825621,5.527682,5.5298313,5.5259763,5.4702034,5.499089,5.5332184,5.5928573,5.5646393,5.5177775,5.5093233,5.5362848,5.5325834,5.1339527,5.1611282,5.2133864,6.1518931,6.1753349,6.0788415,5.5676275,5.5157856,5.5117383,6.9406592,6.9687326,6.9140184,4.9389316,4.8465296,4.8667321,12993.2430902,13000.8191498,12936.4282059,6904.2954334,6903.5937292,6868.9941181,6088.9476568,6097.2254206,6067.4340878,65.1368421,65.1672387,64.8444759,70.4747589,70.4608099,70.1076726,59.9845669,60.0584469,59.7649985,7013.5027939,2928.7838818,4084.7189121,19949.9309999,9797.778,10152.153
2017-09-01,12305.3321044,12321.6721053,12308.5763515,6535.6793957,6538.0960072,6525.017715,5769.6527088,5783.5760981,5783.5586365,8435.2683581,8429.1231251,8387.3234305,5338.6852775,5348.2541393,5323.2243531,3096.5830806,3080.8689858,3064.0990774,3870.0637463,3892.5489803,3921.2529209,1196.9941182,1189.8418679,1201.7933618,2673.0696281,2702.7071124,2719.4595591,61.6151522,61.677643,61.6120906,66.6349016,66.640689,66.5073862,56.7701663,56.8881914,56.8880197,717.3180412,712.1582799,691.3316601,377.4741222,373.7984119,370.8668394,339.843919,338.359868,320.4648207,491.0057592,485.5063099,467.1441047,288.1170917,282.010564,277.2619485,202.8886675,203.4957458,189.8821562,226.312282,226.6519701,224.1875554,89.3570305,91.7878479,93.6048909,136.9552515,134.8641222,130.5826645,5.508234,5.4639216,5.3179735,5.4602306,5.4080457,5.3780894,5.5625519,5.5270076,5.2500588,5.5006798,5.4461749,5.2758012,5.1204409,5.0088331,4.9506763,6.1491258,6.1958936,5.8353795999999996,5.524695,5.5023286,5.4080515,6.9465504,7.1618071,7.2259547,4.8738092,4.7528013,4.58178,13022.6501457,13033.8303853,12999.9080116,6913.1535179,6911.8944191,6895.8845544,6109.4966277,6121.9359661,6104.0234572,65.2069009,65.2424388,65.0726362,70.4834611,70.4506948,70.2875115,60.114041,60.2163539,60.0401636,6977.6259882,2915.0824455,4062.5435427,19977.5339999,9810.967,10166.567
